Week,Predicted Weekly Sales
1,4.681002e+07
2,4.7026804e+07
3,4.72325e+07
4,4.74159e+07
5,4.741067e+07
6,4.7358136e+07
7,4.7243308e+07
8,4.720188e+07
9,4.7086564e+07
10,4.6942596e+07
11,4.682847e+07
12,4.677058e+07
13,4.6737628e+07
14,4.6730936e+07
15,4.674726e+07
16,4.677667e+07
17,4.6813028e+07
18,4.6849684e+07
19,4.6884372e+07
20,4.6911476e+07
21,4.6928484e+07
22,4.693584e+07
23,4.6935544e+07
24,4.6929292e+07
25,4.6919284e+07
26,4.6907756e+07
27,4.6896532e+07
28,4.688699e+07
29,4.687995e+07
30,4.687578e+07
